,標題,時間,作者,內文,留言作者,留言
0,[公告] 二月份心得&分享文獎勵！,Mon Jan 29 00:36:33 2018,Yanagi5566 (持續厭世中),"
二月徵文！！

                開箱、演唱會 分類請用 [心得] 標題不限
                聽歌 分類請用 [分享] 標題請用歌名，選曲不可重複且限當月釋出的歌

                字數須滿100字 (不含歌詞)

                每篇獎勵3500P 一人活動期間最多發3篇 兩天最多發一篇
                若篇數超過20篇 或超過20人 則以篇數多的優先




--
推 ball0228: 我們都會是某些人心目中的主流和非主流，也可能是別人03/04 11:12
→ ball0228: 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒03/04 11:12
→ ball0228: 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流03/04 11:13
→ ball0228: 可以親近的彼此感受，並且面對人生困難的人，我想，03/04 11:13
→ ball0228: 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！03/04 11:14
 #1Ms7nXkj (WomenTalk)

--
","['ball0228', 'ball0228', 'ball0228', 'ball0228', 'ball0228', 'gambler666', 'MRfridge']","[': 我們都會是某些人心目中的主流和非主流，也可能是別人', ': 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒', ': 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流', ': 可以親近的彼此感受，並且面對人生困難的人，我想，', ': 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！', ': 大家來賺錢唷！', ': 推']"
1,[徵求]  怕胖團 2/4 台中 兩張,Mon Jan 29 13:12:21 2018,sodawang (阿汪),"

1.徵求內容：怕胖團 【20世紀少年】演唱會 2張


2.時間：2/4


3.地點：台中leagacy


4.備註：
站內信聯絡，彰化面交或當天現場面交
想來徵看看套票，我跟我朋友需要兩張～有兩張想湊4人也歡迎站內聯絡！謝謝！

--
",[],[]
2,[徵求] 陳粒《光》臺北演唱會,Mon Jan 29 15:22:44 2018,Haruzhen (JNN),"

1.徵求內容：陳粒《光》臺北演唱會
2.時間：2018/3/17
3.地點：永豐Legacy Taipei音樂展演空間
4.備註：幫朋友代徵三張票，跪求讓票，意者麻煩站內信

-----
Sent from JPTT on my iPhone

--
",[],[]
3,[交易] 售 0309 Far East Union Vol.3 TAIWAN,Wed Jan 31 01:27:17 2018,akichi (秋薙),"
-------------------------------溫馨小提醒---------------------------------
                   發文前請詳閱公開板規並遵守法律規範
-------------------------以上文字可用ctrl+y刪除---------------------------


1.買/賣/換：賣


2.交易項目：Far East Union Vol.3 TAIWAN 一張


3.交易價格：1100


4.交易時間：表演當天為止（郵寄就不推薦了…）


5.交易地點：台北可面交（須配合時間地點）、其他地區一律轉帳後以掛號寄出（45元）


6.備註：意者請直接站內信，感謝！


--
",[],[]
4,[心得] JULIA WU 吳卓源 1:28 有一點餓吧?台北場,Thu Feb  1 15:24:38 2018,mook (mook_tob),"
(不知道Julia的歌可不可以分享在這個版，第一次發文若有誤再指教。感恩)

1/28 是 JULIA WU 吳卓源《1:28》有一點餓吧? 不插電巡迴演唱會 台北最終場

當天台北下著大雨，風超級冷
Julia 一開場就跟大家說：
對不起今天真的讓大家受冷風吹～

當天演唱會的版本還沒剪完，這裡先放上樂人的分享：）

Julia cover 林憶蓮 | 為你我受冷風吹
https://www.youtube.com/watch?v=zqMJ5BYZ1rg

剪了一些演唱會的影片，會陸續上傳，希望有更多人聽到她的音樂 （影片晃和雜音不
要介意QQ)

(一)先給大家來首抒情版的 【買榜】
https://www.youtube.com/watch?v=NvJyee-N_2I

(二)再來是 ØZI指定一定要翻唱的【我們不一樣】，大家都一直笑場XD
https://www.youtube.com/watch?v=ly8ATCEAjhY

(三)我自己很喜歡的【TV】，目前在youtube上似乎沒有，和大家分享一下
https://www.youtube.com/watch?v=3fA07UnZg2I

(四)【底線】
https://www.youtube.com/watch?v=eBglvkmqCf4

再來是一些英文的cover，在JUSKY星推薦裡面有提到的一些歌曲，
還有一些片段還沒剪完，有空會再陸續上傳，跟我一樣喜歡Julia的歌迷可以訂閱！

(一)Julia說一聽到這首歌就會想到初戀【Kiss me】
https://www.youtube.com/watch?v=AFpUG4G5SoY

(二)接觸R&B的第一首歌曲【Karina Pasian—Slow Motion】
https://www.youtube.com/watch?v=WYTHGw9Cuf0


應該很多人認識Julia都是聽到【你會不會有點動心】&【走到飛】
（演唱會時有翻唱抒情版)
我會喜歡她的歌是因為聽到英文EP裡面的 H.E.N.R.Y 和 Sea (這首KKbox上有)

H.E.N.R.Y
https://www.youtube.com/watch?v=ehj8m5fCMLM

補充：

1/21 IN OUR TIME 在高雄演唱會前的專訪，聽完專訪會更喜歡她
https://www.youtube.com/watch?v=3wUIjpagb5s

Julia吳卓源 的 youtube頻道
https://www.youtube.com/user/JUICYisvip

Julia 超級親切，最後演唱會結束給每位朋友擁抱和握手
(她說很感謝大家喜歡她的音樂，預計四月左右會有一場大型的演唱會)

最後附上Julia的笑
https://imgur.com/a/HC3Wa

--
","['clark2644', 'slowwalker', 'john0liang']","[': <3', ': 推', ': 讚！']"
5,[心得] 9m88 <九頭身日奈> 台中場,Thu Feb  1 20:34:42 2018,Yanagi5566 (持續厭世中),"

9m88 <九頭身日奈> Vinyl 發行冬季巡迴

https://i.imgur.com/C3Mcs0I.jpg

票價    預售票：600 元 / 現場票：700 元
時間    2018/01/07(日) 20:00
演出者  9m88, 陳昱潔, 石哲安, 陳函漁
場館    Forro Cafe 呼嚕咖啡
地址    台中市西區精誠三街47號

--

英文名字""Joanne""、中文綽號""小芭""的9m88

第一次聽到她的聲音是與Leo王合唱的""陪你過假日""

之後才聽到她在樂人翻唱的BB88
https://youtu.be/g5DowpZgbN8

以及與這場巡迴同名的九頭身日奈
https://youtu.be/SxM42jD8yWI

--

當天俺跟三兩好友一起到呼嚕時候已經遲到了

路上就有心理準備滿場的呼嚕遲到大概只能聽聲音了吧XDDDD

果不其然當天幾乎只能站在門口附近晃ㄏㄏ

隱約能看到9m88難得亮相的""戰袍""及上一次來到台中一模一樣的頭巾

(據當天9m所說，這件戰袍是買很久但是沒有機會到外面穿的衣服)

https://i.imgur.com/VrqJAsY.jpg

到的時候9m準備要唱Plactic Love
https://youtu.be/LrzEzBAi0Mg (水管裡好像沒以台中場的版本)

重新詮釋這首1984年由竹内まりや唱的經典city pop
https://youtu.be/3bNITQR4Uso

很喜歡這場巡迴在呼嚕，全場享受著與9m搖擺的感覺

9m也有唱她的作品 九頭身日奈、一起去巴黎、Air Doll等等

中間最期待還是九頭身日奈的跳舞時間，台上的弟弟真的看起來不像18歲啊xDDD

https://i.imgur.com/ENY9hte.jpg

9m88的即興演出和帶動唱也不時讓台下熱起來

在這裡許願希望有大神可以支援歌單xD

最後也特別向她朋友悼念 在此再度呼籲大家

不要酒駕
不要酒駕
不要酒駕

--

附上可愛的9m88跟不可愛的我

https://i.imgur.com/8r9G7KU.jpg

對了，有沒有人跟我一樣覺得帶動唱的時候很難唱 (笑)



--
推 ball0228: 我們都會是某些人心目中的主流和非主流，也可能是別人03/04 11:12
→ ball0228: 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒03/04 11:12
→ ball0228: 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流03/04 11:13
→ ball0228: 可以親近的彼此感受，並且面對人生困難的人，我想，03/04 11:13
→ ball0228: 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！03/04 11:14
 #1Ms7nXkj (WomenTalk)

--
","['ball0228', 'ball0228', 'ball0228', 'ball0228', 'ball0228', 'clark2644', 'john0liang', 'AngryYouth', 'Yanagi5566', 'nuclear211']","[': 我們都會是某些人心目中的主流和非主流，也可能是別人', ': 心中喜歡和討厭的對象，人生可以做自己喜歡的事情是很棒', ': 的，先不管紅不紅，至少我真正踏在真實的世界與你們交流', ': 可以親近的彼此感受，並且面對人生困難的人，我想，', ': 這件事更令我覺得開心：）喔耶！謝謝你們喜歡我們的歌！', ': <3 <3 <3', ': 推！', ': 反正你也看得到舞台啊 是在：（', ': 還是很困難啦', ': 終於看到Plastic love']"
6,[交易],Fri Feb  2 10:36:00 2018,emilylien (Emily_lien),"
1.買/賣/換：賣 （已預訂）


2.交易項目：
覺醒音樂祭 Wake Up Fest 2018 三日完售票*3


3.交易價格：
一張2300 （原價2400）
三張全帶6800


4.交易時間：
6/10以前


5.交易地點：
台北捷運面交/掛號郵寄


6.備註：
原本要跟朋友去，後來發現有的學校六月底還沒放暑假，沒辦法去，故售出

--
",[],[]
7,[交易] 售 2/10 Vast&Hazy 高雄場,Sat Feb  3 08:42:33 2018,ting131313 (ting131313),"

節目： Vast&Hazy 新歌秘密試聽小巡迴高雄場
地點： In our time
時間： 2月10日20時00分
位置： 無劃位
原價： 350
售價： 350
張數： 2，共700元

交易方式： 先匯款，後給取票序號
連絡方式： 站內信
備註：

若來信眾多恕不一一回信，謝謝

--
",['ting131313'],[': 洽中，謝謝']
8,[交易]  換票 安溥 煉雲 05/13(日) 加場,Sat Feb  3 20:13:03 2018,Chang0524 (蕪菁騷年),"

換

05/13（日）
黃3C區 1500*1
.
希望可以換
.
05/12（六）或05/13（日）
800任意一區連號兩張。
補差價。

宜蘭、北車至南港展覽館藍線捷運區間面交。


只換，暫無出售。


-----
Sent from JPTT on my Asus ASUS_Z00ED.

--
",[],[]
9,[心得] 怕胖團 【20世紀少年】演唱會,Mon Feb  5 23:45:23 2018,john0liang (約翰想變強),"
昨天最開心的事就是，大家都有在開場前找我拿好票！

下次再跟大家一起大冒險囉。

附上呆照一張，

https://i.imgur.com/H1sYJaY.jpg




想先跟大家說一下這個， Legacy 會員募集卡

https://i.imgur.com/pDwI9BF.jpg

這就是一個拿票根集章換會員卡的東西。

然後，成為會員最大的好處就是生日當月可以免費看一場表演。

我剛剛試著去官網找詳細資料，可是「如何成為會員」的連結好像掛了。



回來說演唱會，

昨天天氣真的很冷，但是入場之後就溫暖多啦。

去年十週年的專場，我也有去。

相較那次，台中這次的出場比較單調一些。 QQ

開場前的MV播放，一起合唱的人也是偏少，台北那時候真的一直在大合唱。

希望台中那天看表演時的氣氛，也能夠再更熱烈一點！



這次我把身上的裝備減少到最少，跟著一起進去衝撞了幾次。

不過不得不說，有好幾次台下觀眾開始遊戲的時機點都很怪。

有一次居然旋律都要結束了還有人要開。 XDDD



整場表演的一大高潮，應該就是謝和弦出場的時候。

身為特別嘉賓，居然跑下舞台，橫越了一次人群一一跟觀眾擊掌。

我整個覺得觀眾你們是不是High過頭了，你們這樣害嘉賓搶了鋒頭啊啊啊！ XDDD


附上我用手機錄的魚，音質好差啊。 QQ


怕胖團 - 魚 feat. 謝和弦 20180204【20世紀少年】演唱會

http://youtu.be/KYp7qYyRh8o


講到2007台客搖滾的時候，我好懷念啊，那是我人生的第一場音樂祭！

那個時候，入場前就有謝和弦跟海平面樂團的粉絲，跟我推薦他們了！！！



昨天還有很有趣的一段是，在問台下觀眾要聽什麼歌的時候。

有人在那邊喊《全世界我最喜歡你》！

閃亮真的人很好，居然還有滿足她的願望！果然是他非常喜歡的一首歌！！

http://youtu.be/rkSMRElzpQ0




散場的時候，本來想找全部的大家一起來合照的！

可是20個人實在太難湊齊，有的人要買週邊、要簽名、要趕回家。

最後就只有我們幾個合照了！ XD

https://i.imgur.com/XxNNBk9.jpg

https://i.imgur.com/zPbm62I.jpg



昨天又發了一些貼紙出去！

有要的貼紙的人下次跟我看同一場表演的時候！

再來找我拿囉！！！



最後要說，

大家趕快一起來發心得文！

爽領P幣3500元吧！耶！

--
如果你喜歡這篇文章。
歡迎到這看看，我對喜歡過的每項事物寫下的記錄。

羨慕你們作著彩色的夢
https://www.facebook.com/j0hr125

--
","['mco520', 'john0liang', 'peter2jolin', 'aaxxcv654', 'tracy25']","[': 後來還是忘了去拿Legacy的集點卡 QQ', ': 多少有差啦。像如果你有會員，小球228那場就只要900。', ': Ya拿到貼紙好高興XD', ': 照片沒我。 怒噓', ': 我可以提供良好的音檔']"
