,標題,時間,作者,內文,留言作者,留言
0,[新板成立] nmsmusic板,Tue Apr  5 19:53:04 2016,skydreaming ((‵▽′)Ψ..咦？),"

           茲因 yanagi5566 於 Buzz_Theater 申請新板連署，達到連署門檻，

           即日起請 yanagi5566 擔任 nmsmusic板 的實習板主，實習為期兩個月。


           請詳閱 BM板 精華區之板主指令、編輯精華區應注意的法規，

           並請時常注意 Announce 的公告，

　　　　　 期能克盡板主之職責，熱心經營板務並提供相關資訊以服務大眾。


  歡迎有任何板主職責問題請至 Buzz_Theater 組務 ◎視聽劇場組務中心 查詢相關事項

                                                                視聽劇場小組長
   　　　         *＊．﹡        *＊───────────────────┼┼
 　  　　                     　　　              ψ ｓｋｙｄｒｅａｍｉｎｇ ψ


--
╭══╬═╗╭╗╔╮╔╗╭╦╩═╦╗╭╝╠╗╭╝╭═╩══╗
╭══╬═╗╚╚╔╩═╗╚║    ║★╭╝╠╣╭╝║╭═══╗ 批踢踢實業坊
╠══╬═╣╭╗╭═╬╗╚╩══╩╯╚╝╚╯╚╝╣║╭╦╝║ telnet://ptt.cc
╚══╬═╯╚║╚  ║★╭════╗╭══╬═╗║║╭╬╗║
╔╭═╣╮╗╭╝╚═╬╝╠════╣╔╭═╣╮╗╣║╚╬╯║ 創板15週年!!
╰╝╚╯╚╯╚╝  ╚╯  ╚════╯╰╝╚╯╚╯╝╝╚╩╝╚ψ J-PopStation板

--
",[],[]
1,[閒聊] 恭喜開板,Tue Apr  5 19:53:17 2016,swattw (Swat-未來模式),"
As Title

--
         ◢◢ξ                  █ 切斷頭殼顛倒巧     █
█ ╱█▂█▍你可以揮兩把劍  █ \ ◢ ◣      █ ＭＡＲＶＥＬ
█ ╱ █ █▆▋  真不簡單!     █◆ ▋◥ ◤   ◆█　　
█∕ █▅██▉ /              █ ◆◣◥ ◤◤  ◢◆ █ Deadp‥l
█◢████◥█ █  ◥ ◣ ▼◢ ◤ █
◢█████◣                  █ Ｙ﹊▄▇▇ ▄◤﹊Ｙ █ ψleo1990910

--
",['moon70552'],[': 推 跟我一樣來洗文DER']
2,[閒聊] 恭喜開板,Tue Apr  5 20:16:28 2016,Firstshadow (MentalUTN),"
恭喜開板  ⊙_⊙



--
Sent from my iPhone 8

--
",['Yanagi5566'],[': 嘻嘻']
3,[賀開]板恭喜開板,Tue Apr  5 20:31:07 2016,moon70552 (丟啦),"
【賀開板】
【賀開板】
【賀開板】
【賀開板】
【賀開板】
【賀開板】
 【賀開板】
 【賀開板】
 【賀開板】
 【賀開板】

--
    ◣◥ ◤◢ ◣▁◢   請‧尊‧重‧生‧命  
 ◤    ◢◤  ‧‧▏     ◥ ◤   以 認 養 代 替 購 買  
  ◤◢  ▄▄▄▄  ‧‧   
  ◢◤  請領養我    ▄ ▄        以 絕 育 代 替 撲 殺  
  ◤◢      請領養我▄ ▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄
                           ψQSWEET                                             

--
",['Yanagi5566'],"["": o'_'o""]"
4,[閒聊] 恭喜開板,Tue Apr  5 22:26:38 2016,rehtra (武英殿大學士爾雅),"


恭喜恭喜～
祝板運昌隆～




--
女人若嫁丈夫不是出於愛，而是因為貪婪，為了有人支付帳單，為了獲得好房子、
衣服和珠寶；女人結婚若是為了擺脫疲累的工作、為了離開不喜歡的親人、或為了
避免被喚作老處女，這些女人除了名稱外，是徹頭徹尾的妓女。

                                                          Polly Adler

--
",['Yanagi5566'],[': 謝謝0303']
5,[閒聊] 恭喜開板,Wed Apr  6 01:14:56 2016,yellowlin (黃林),"
恭喜開板 ⊙_⊙

--
",['Yanagi5566'],"["": 謝謝o'_'o""]"
6,[閒聊] 恭喜開板！！,Wed Apr  6 01:53:00 2016,holishing (),"
non-mainstream-music

期待這個板喔! 加油！

--

Sent from PCman(ssh) on my Windows

--
",['Yanagi5566'],[': 謝謝記得多來晃晃啊']
7,[閒聊] 恭喜開版,Wed Apr  6 15:48:50 2016,xinchen0223 (xinchen),"
恭喜開版！！我要介紹管罄啊！！（嗯?

--
",['Yanagi5566'],[': 好啊管罄交給你介紹啦']
8,[祝賀] 恭喜開版!!,Thu Apr  7 19:08:19 2016,tracy25 (浣熊),"
如題

同期連署的戰友

恭喜開板!!!

我愛indie 希望可以有個聊的地方

--
",['Yanagi5566'],[': 感謝你唉']
9,[閒聊] 恭喜開板,Sun Apr 10 13:06:33 2016,MollyChen (Molly),"
恭喜開板！！！
期待這個板之後的發展～

--
",['Yanagi5566'],[': 謝謝啊 要多來坐坐喔ˊˇˋ']
