,標題,時間,作者,內文,留言作者,留言
0,[情報] 5/11 Linion Band [email protected] ,Mon Apr 15 08:55:35 2019,Ririjen (瑞瑞),"
https://www.facebook.com/events/374511779813581/?ti=icl
活動連結
————————————————
台灣新生代演唱創作者｜ LINION ( Chi-Ching 奇清唱片公司 ）

年僅21歲來自台北的LINION，自小學開始接觸表演樂器、搖滾樂，18歲進入美國MI音樂學
院，專攻貝斯演奏，長時間的音樂薰陶，從此打開對於音樂創作的無限領域。

2017年返台後，經由 Chi-Ching 奇清唱片公司挖掘，終於在今年年初發表了第一張專輯
《Me In Dat Blue》。

-

第一張專輯肯定代表了一位創作人最原始的想法。

《Me In Dat Blue》完整記錄了LINION的創作歷程，全張專輯不難感覺到，LINION受到R&
B、Neosoul曲風影響甚大，以吉他的優雅和弦襯底，行雲流水的貫穿了整張專輯，時而鬱
悶孤寂、時而律動擺晃，清楚演繹了LINION式樣的pure R&B。

最值得一提的是，在整張專輯的最後給了大家一個驚嘆號！

由同樣為創作者的陳穎共同創作的即興作品 - 中正沒園，一掃先前呈現的濃郁孤寂氛圍
，叛逆、瘋狂的""中正沒園""，就這樣被安排在整張專輯最後一首，似乎也暗示了聽眾LINI
ON的未來性與多樣化。

2019/05/11(六)，民生電氣將邀請LINION來到台南府城，以Live Band方式完整呈現專屬
於LINION的靈魂律動！

-

Linion Band Set @TCRC Livehouse

日期｜2019.05.11(SAT)
時間｜20:00 - 23:00
地點｜ TCRC Livehouse
地址｜台南市中西區西門路二段314號(西門圓環上)

票價｜
預售票　NTD.600
現場票　NTD.800

總票數有限，售完為止

-

購票轉帳資訊｜
中國信託822
帳號｜1155-4033-7762
戶名｜民生電氣音樂工作室

轉帳完成後請私訊民生電氣姓名、電話與mail。
———————————————————
梨農要來台南了～票好像剩不多有興趣的朋友趕快買票吧

--
","['ashianQQ', 'SuperRoMay', 'ashianQQ']","[': 乾他要唱3小時哦，太爽了吧！', ': 3小時太扯了吧吧吧', ': 樓上不是南部人沒得去所謂嗎，黎農把握機會快衝R']"
1,[自介] ssms5123,Mon Apr 15 10:49:35 2019,ssms5123 (Bala),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆★

╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪


1. 唉滴：ssms5123


2. 暱稱：芭樂


3. 星座：獅子座


4. 喜歡的樂手或樂團：怕胖團，滅火器，隨性，美秀集團，茄子蛋


5. 喜歡的歌曲：想要沈澱的時候喜歡聽滅火器的1945，心情好的時候會聽電火王


6. 何時接觸非主流：2018年大學畢業後才第一次去威卡，結果就完全入坑了


7. 想說的話：跪求如何推女友入坑的方法



         ■
 ■     ■■■■■■■■       ■
 └─┘     ■  ■ ■ ■   ■■■   ■
  ─┼─          ■  ■ ■■■■■  ■    ■ ■  ■ ■
■■■  ■■■  ■■       │─│   ■ ■■■   ■
■  ■      ■ ■ ■  ■  │  ■■■
■■■  ■■■  ■■ ■ ■ ■■■■ ■
■  ■ ■ ■ ■    ■   ■■■■■■
■■■  ■■■  ■■ ■ ■ ■    ■ ■
■  ■ ■ ■ ■■■■    ■  ■  ■
■  ■■■■■■ ■ ■ Non-mainstream-music 2016

-----
Sent from JPTT on my iPhone

--
","['apple12413', 'ashianQQ', 'ashianQQ', 'ashianQQ']","[': 換一個新的(???)', ': 這問題我也未雨綢繆過xD', ': 你可以搬去跟她同居，然後每天都開喇叭撥歌洗腦她，然後', ': 狂跑專場音樂祭別跟他約會哈哈哈']"
2,[自介] pepeboy,Mon Apr 15 13:34:55 2019,pepeboy (金Ａ),"
☆★☆★☆★☆★☆★☆★☆tp6★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆
★?

╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪
╪


1. 唉滴：pepeboy


2. 暱稱：金A


3. 星座：處女座


4. 喜歡的樂手或樂團：
   拍謝少年、必順鄉村、美秀集團、安溥、隨性(Random)、夕陽武士、滅火器、
   先知瑪莉、告五人、五五身、宋東野、謝震廷、麋先生、無妄合作社、晨曦光廊、
   血肉果汁機、閃靈、草東沒有派對、甜約翰、荷爾蒙少年、拾音'pick/\p



5. 喜歡的歌曲：
   暗流、北海老英雄、夢中見、人生很難、純情夢、海上的人、爛泥、鴿子、殘枝

6. 何時接觸非主流:
   大一318學運的時候，被島嶼天光感動到，但因為身邊的人沒什麼人在聽獨立音樂，
   也很難有朋友推薦QQ，所以都只能自己找來聽，直到碩士遇到隔壁實驗室也有同好，
   雖然跟他的喜好差蠻多的，但還是主動揪他跑了大港，然後就此真正的入坑

7. 想說的話：

   音樂祭真的是一條不歸路，跑過一次後就會想再跑第二次第三次...然後就沒有然後了

   音樂祭好玩的地方除了聽想聽的團外，有時候反而會因為某些團的現場而愛上

   真的很佩服那些衝撞整場的人體力真的很好，自己撞幾首就凍未條了@@

   希望自己喜歡的團能讓更多人聽見，但也希望不要因為誰得了金X獎而去跟風，因為有
更多好團值得你去聽的

   七月威卡見

   若有音樂季沒有伴的也可以找我！


                       ■
 ■     ■■■■■■■■       ■
 └─┘  ■  ■ ■ ■   ■■■   ■
  ─┼─     ■ ■ ■■■■■ ■ ■ ■ ■ ■
■■■ ■■■ ■■       │─│   ■ ■■■ ■
■ ■   ■ ■ ■  ■  │  ■■■
■■■  ■■■  ■■ ■ ■ ■■■■ ■
■  ■ ■ ■ ■    ■   ■■■■■■
■■■  ■■■  ■■ ■ ■ ■    ■ ■
■ ■ ■ ■ ■■■■ ■ ■ ■
■  ■■■■■■ ■ ■ Non-mainstream-music 2016

--
",['realrouuu'],[': 宋冬野 冬打錯惹']
3,[心得] 2019TIFA桑布伊演唱會-國家戲劇院,Mon Apr 15 15:45:44 2019,hsnufuji (),"
嗯我不太知道「獨立音樂」的定義... 所以也不太確定這篇發文內容是否符合這個版...
如果哪裡不當，就麻煩版主直接刪除囉



-------------------以下心得------------

[2019TIFA桑布伊演唱會-國家戲劇院]

套句董事長樂團常說的：「越在地才越國際」
小島東測一個背靠中央山脈面向太平洋、右瀕知本溪左臨卑南溪的小地方住著這麼古老的民族，孕育出這麼動人的大地之聲
他來自山林來自土地，來自那優美又深遠的文化


身體力行傳承族群文化的BDC舞團、穿上自己部落獨特服飾的Pinuyumayan(卑南族)少女、
用人生實踐「美」是生活的東海岸美女代表以莉，
當然還有分享音樂分享文化分享智慧分享美好的桑布伊
真真實實從這片土地長出來MIT的每個音符每句話語都是那樣撼人卻真摯
我們何其有幸跟這群人住在同一座島嶼，更有幸在國家劇院見證了這麼動人的演出


27年前一個男孩坐在台下，花了27年從縱谷走到盆地，海邊走到城市，
2019年四月的第二個週末，他終於從台下走到了這個舞台上
他是可以代表台灣唱上世界舞台的桑布伊，也是那個跟大家手牽手大跳舞的桑布伊
不論在東海岸皎潔的月光下還是國家劇院巨大的舞台上，
他始終和部落和家人和朋友站再一起
在場見證著這些美好時刻，是我們莫大的榮幸


--
","['Yanagi5566', 'sclbtlove', 'oray914']","[': 推桑布伊 雖然聽不懂原語但真的會打從心底起雞皮疙瘩', ': 桑布伊真的優秀', ': 推 聽過他現場 真的好聽']"
4,[自介] jlynn27,Mon Apr 15 18:59:41 2019,jlynn27 (jlynn),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆
★

╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪
╪


1. 唉滴：jlynn27


2. 暱稱：jlynn


3. 星座：水瓶


4. 喜歡的樂手或樂團：deca jions、傻子與白痴、落日飛車、hello nico、告五人、渣
泥、閃靈


5. 喜歡的歌曲：5:10a.m.、海浪、花、披星戴月的想你、半心、Greedy、視線所及只剩
生活、皇軍、暮沉武德殿......


6. 何時接觸非主流：大三時期受到熱音社弟弟的影響，開始接觸地下樂團，而原本只聽
日音的我，猶如發現新大陸一般，一發不可收拾，開始聽起台灣樂團的創作，並參加各式
音樂祭！


7. 想說的話：希望台灣有更多非主流的音樂被全世界聽見！在浮躁喧囂的生活中，透過
歌曲得到喘息，並繼續前行！大家一起溫柔的推翻這世界！



                         ■
 ■     ■■■■■■■■       ■
 └─┘     ■  ■ ■ ■   ■■■   ■
  ─┼─          ■  ■ ■■■■■  ■    ■ ■  ■ ■
■■■  ■■■  ■■       │─│   ■ ■■■   ■
■  ■      ■ ■ ■  ■  │  ■■■
■■■  ■■■  ■■ ■ ■ ■■■■ ■
■  ■ ■ ■ ■    ■   ■■■■■■
■■■  ■■■  ■■ ■ ■ ■    ■ ■
■  ■ ■ ■ ■■■■    ■  ■  ■
■  ■■■■■■ ■ ■ Non-mainstream-music 2016

--
",[],[]
5,[情報] 笑傲音樂祭 Shout Out Festival,Mon Apr 15 20:15:51 2019,apple12413 (C'est la vie!),"
音樂祭除了好聽，更該好玩！
選在遊樂園舉辦樂團音樂祭
如此天馬行空的浪漫想法
竟能在 #六福村 如願實現
五大舞台 + 六福村全區開放
來自日、韓、英、美、泰等各國指標樂團
當然少不了多組台灣樂團，一起同歡
大怒神、笑傲飛鷹、火山歷險、水樂園...
邊玩邊聽，邊聽邊玩
關於音樂祭，前所未有的想像
就是我們致力營造的音樂祭體驗
夢想成真的音樂祭
喚醒你我的赤子之心
Shout Out Festival 2019
9/6(五) - 9/8(日)
就在六福村主題遊樂園
-
#笑傲搖滾音樂祭｜Shout Out Festival 2019 預售票開賣！
先買，先贏，成為先知
在5/1(三)正式公布首波演出陣容之前
＊先知套票三日券，NT$1,600元 (限量1000套)
在5/1(三)正式公布首波演出陣容之後
＊早鳥套票三日券，NT$2,600元
＊現場三日聯票，NT$3,200元
　9/6(五)單日票，NT$1,200元
　9/7(六)單日票，NT$1,600元
　9/8(日)單日票，NT$1,600元
　(單日票僅限現場販售，不作預售)
","['xiaowei', 'xiaowei', 'ashianQQ', 'sclbtlove', 'john0liang']","[': 六福村票價999，早鳥根本超值...', ': 應該說先知XD', ': 我超想賭的，可惜那時候國軍online..', ': 可惡 想賭', ': 別賭！']"
6,[自介] dsleetom,Mon Apr 15 20:44:56 2019,dsleetom (金高),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆★
╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪


1. 唉滴：dsleetom


2. 暱稱：多神


3. 星座：魔羯


4. 喜歡的樂手或樂團：台灣有麋先生、荷爾蒙少年、胖虎、Vast and Hazy、渣尼、三十萬
年老虎鉗...最近聽比較多日本團


5. 喜歡的歌曲：停下來、小朋友、傾雨、反轉生活、食人夢...


6. 何時接觸非主流：高中是音樂創作社團，接出了龐克，然後慢慢越聽越雜。後來開
始跑演唱會、音樂節就回不去了XD


7. 想說的話：暑假好想去覺醒啊！要不是準備考研究所的話QQ




                       ■
 ■  ■■■■■■■■ ■
 └─┘  ■ ■ ■ ■ ■■■ ■
  ─┼─     ■ ■ ■■■■■ ■ ■ ■ ■ ■
■■■ ■■■ ■■       │─│   ■ ■■■ ■
■ ■   ■ ■ ■  ■  │  ■■■
■■■ ■■■ ■■ ■ ■ ■■■■ ■
■ ■ ■ ■ ■ ■ ■■■■■■
■■■ ■■■ ■■ ■ ■ ■ ■ ■
■ ■ ■ ■ ■■■■ ■ ■ ■
■ ■■■■■■ ■ ■ Non-mainstream-music 2016


--
",[],[]
7,[情報] 【PTTNMS 蚰抩葡翩j 鄉民包票活動,Mon Apr 15 21:00:03 2019,Yanagi5566 (持續厭世中),"
PTT nmsmusic 非主流音樂板 蚰抩葡봠Sweet Sound Festival
2019 甘噪祭 Sweet Sound Festival

閃熠的世代 si嫥 sih stāi 4/15（一）21:00 flyingV 售票正式啟動
－
6 月 7 8 日｜端午連假｜府城限定音樂節
海安路街區｜TCRC Livehouse｜Seety 新城視

甘噪祭 IG  sweetsoundfest
甘噪祭 LINE  @sweetsoundfest

【 參演陣容 Line-up 】
晨曦光廊 Sun of Morning｜聲子蟲 Bugs of Phonon｜好樂團 GoodBand｜ゲシュタルト
乙女 Gestalt Girl｜暖嶼 Fuermosha｜荷爾蒙少年 Hormone Boys & ...more！

【 辦理單位 Organizer 】
主辦單位｜甘噪祭策展團隊、海安觀光商圈協會
場地協力｜TCRC Livehouse、Seety 新城視展演空間、承億輕旅台南館
贊助單位｜逐鹿炭火燒肉、香水 1976、NEW NOISE 音樂飾品實驗所、松興租車
特別協力｜中國信託文教基金會、存在音樂、JANDI、台安藥局、參步伍食、堯平
媒體協力｜StreetVoice 街聲
特別感謝｜agn鋊 b.

-
＊表單審核通過者將以電子郵件寄出匯款須知
＊鄉民包票適用對象：具有 PTT 帳號且在 nmsmusic 板發過文者或參與官方社群者，本
板官方社群如下 https://pttnmsmusic.pse.is/social_community。 請於兌換手環時，
出示有照身分證或健保卡以備查驗。限量30張， 一人僅限購買一張票。
＊ 證件說明：
1. 具照片，且可清楚辨識是否為本人。
2. 需有身分證字號及出生年、月、日等足以證明身分證件。
＊ 若於兌換手環時，無法出示符合以上條件之證件或文件等之觀眾，則自動放棄入場資
格，不得要求退款、變更。
＊ 主辦單位有權以其他形式查驗身分是否符合。
＊ 如需辦理退票請聯絡本板粉專https://www.facebook.com/PTTnmsmusic並請留意受理
退票的期限。
表單傳送門 https://forms.gle/bNCYcgtXD8nzRu9A7


--
非   ■■■  ■■■■■  ■■■  ■■■■■  ■  ■  ■■■  ■  ■■■   
貳
主     ■  ■  ■  ■  ■  ■      ■  ■  ■  ■  ■  ■   ■  ■   
零
流 ■  ■  ■  ■  ■  ■■■  ■  ■  ■  ■  ■  ■■■  ■  ■   
壹
音    ■  ■  ■  ■  ■  ■  ■  ■  ■  ■  ■  ■  ■  ■   
陸
樂    ■  ■  ■  ■  ■  ■■■  ■  ■  ■  ■■■  ■■■  ■  ■■■   
創
    視聽劇場 →Music_World →Music_Area →nmsmusic

--
","['asd860079', 'samuel880831', 'kimi0517', 'SuperRoMay', 'squidsoup', 'sclbtlove', 'revon', 'eugene0701', 'cc220', 'blyaoi', 'yayayan', 'lyukuo', 'jeudionemore', 'Bittertabby']","[': 官方購票網站484崩潰ㄌ QQ', ': 怎麼知道這個有沒有搶到ㄋ大大QQ', ': 推推 已填完 希望有搶到～', ': 嗚嗚填了希望有我', ': 已填 ~~', ': 難怪那麼多自介文XD', ': 已填~30人名額感覺有點期待又怕受傷害XD', ': 有收到 推！', ': 收到 推推', ': 有收到推推', ': 收到 推推', ': 我沒收到......', ': 已填~~', ': 已填']"
8, [自介] gleemoore,Mon Apr 15 21:05:30 2019,gleemoore (歡樂無限),"
我叫： gleemoore

來自： 台北

年齡： 25

樂齡：5年

最喜歡的樂團：宇宙人、黃玠、廖文強


如果你飄到了一座無人島，只能帶一張唱片，那這張會是：宇宙人-一萬小時

理由是：消磨時光的好CD


最近一張在聽的唱片：滅火器


其他想說的話：
誤打誤撞入聽現場的坑，迷到現在啦
雖然身邊聽台灣音樂的人很少，但對我來說就是有一種獨特的魅力，
最低潮的時候療癒我，給我能量，上班之後跟團的能力越來越弱，
但喜歡音樂的心不會變的。



--
",['opsmemo'],[': 宇宙人一萬小時那張專輯真的超級棒！大愛！']
9,[自介],Mon Apr 15 21:14:39 2019,squidsoup (居居),"
☆★☆★☆★☆★☆★☆★☆★☆★→非主流音樂版←☆★☆★☆★☆★☆★☆★☆★☆
★
╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪╪
╪


1. 唉滴：squidsoup


2. 暱稱：G


3. 星座：射手座


4. 喜歡的樂手或樂團：猛虎巧克力 先知瑪莉 Hello Nico  DSPS 理想混蛋 美秀集團 草
東沒有派對


5. 喜歡的歌曲：給奇怪的你 醉難寫的歌 鬼 光塵 米兒  小老婆  我會不會又睡到下午
了等等太多了


6. 何時接觸非主流：前年參加廣仲春季巡迴跟前方的小隊員尬聊一番之後被推猛虎巧克
力從此開啟了燒錢的不歸路


7. 想說的話：聽團是條不歸路，但我跟錢包都無法自拔



                         ■
 ■     ■■■■■■■■       ■
 └─┘     ■  ■ ■ ■   ■■■   ■
  ─┼─          ■  ■ ■■■■■  ■    ■ ■  ■ ■
■■■  ■■■  ■■       │─│   ■ ■■■   ■
■  ■      ■ ■ ■  ■  │  ■■■
■■■  ■■■  ■■ ■ ■ ■■■■ ■
■  ■ ■ ■ ■    ■   ■■■■■■
■■■  ■■■  ■■ ■ ■ ■    ■ ■
■  ■ ■ ■ ■■■■    ■  ■  ■
■  ■■■■■■ ■ ■ Non-mainstream-music 2016

--
",['royroy113'],[': 推先知瑪莉和美秀']
